time,phase1,phase2,phase3
0,347.3456488564524,304.6895393397545,268.0175778630088
1,347.3204873653448,314.5781248750877,260.4612331466035
2,370.08355119971066,314.5764109474536,293.3370230252853
3,439.31575157577066,314.5715223084297,350.2069801448328
4,459.2290527631173,334.2296936683526,443.04647724647634
5,439.389236742826,373.03651453013595,456.3520364468104
6,476.31296097964133,373.0445288908573,472.77589776419643
7,509.3611490034104,373.0522931563139,508.2671655360836
8,509.4691674458569,372.96648298390693,558.3489778346348
9,1307.59183896056,374.5694809257046,511.6975439409146
10,584.873975601116,353.3413188896207,568.9050386551005
11,585.0223058018423,353.2500811374567,633.1379188189933
12,565.2028134774346,353.21562669029896,633.2048116611329
13,565.3165247224324,353.14534761509196,674.4050319372802
14,565.2662368039512,353.1771815947724,654.6290925001107
15,552.1257721992071,353.10511296650975,692.9035099637595
16,553.1611102733033,385.18464977094214,1352.0764747252306
17,553.1611102733033,385.18464977094214,1352.0764747252306
18,553.1080812456919,385.22276745420965,1330.5833254539582
19,565.194199005091,366.36563169784824,651.6939689980953
20,565.194199005091,366.36563169784824,651.6939689980953
21,565.2050924342376,366.3584502776246,655.9784808659562
22,638.4533746861299,366.43978366081694,661.4101354744548
23,699.3246494137114,327.53895529720774,744.4146172864749
24,699.267081042895,383.43721191758664,785.4346528143449
25,687.4989049483664,383.3378288526557,825.050041293375
26,687.4584153159134,383.3609790241658,803.9571398124485
27,687.4584153159134,383.3609790241658,803.9571398124485
28,726.9803267682108,383.35218256214165,869.7127257985724
29,727.0063630258094,403.0473136273927,912.6473903661155
30,745.9430455697753,383.5521727089991,783.0586000321464
31,745.971178448646,370.38952756263166,776.422822400762
32,742.996177698503,370.3842866036844,776.4332312383541
33,743.0233348219458,370.3701056275381,787.9673056115414
34,742.9900061507603,370.38805165598126,774.7856602538459
35,742.9216897657116,404.6123914971582,794.6779204822583
36,782.616408739362,404.6620972419746,807.7252051115922
37,782.5497729818711,404.69393979553547,810.0600556717665
38,782.5497729818711,404.69393979553547,810.0600556717665
39,778.5583502057843,404.8062534159121,783.3300099224923
40,778.6112131607774,404.78124757576404,786.6002565887202
41,778.5808229329281,455.4546345119944,799.851477451039
42,811.6093691924375,455.5434983754824,784.2500572533145
43,859.0045164854725,455.60126152338063,786.3580745210776
44,758.7816856942394,455.36488508224204,858.4814007901507
45,698.2717703804179,455.2521252762615,853.7624316516478
46,653.6712449181367,428.5327989478928,853.8640787051017
47,653.6712449181367,428.5327989478928,853.8640787051017
48,677.4158394813708,428.4378735951324,888.215799415179
49,718.4281971195919,482.41359308922074,958.8627372885962
50,718.2610629650386,515.3815687373377,931.2804744911448
51,718.0913290510211,558.883357311869,931.467018833618
52,718.0480143873492,558.9187845512098,911.6681862548926
53,718.0099651445408,595.1008251756532,963.9697351345695
54,690.213414966451,594.7857059803364,1041.6983378096768
55,813.0051900814685,645.7116042009919,1096.089372343844
56,793.1770165628398,645.6230419083154,1107.4230773929614
57,793.0123870903561,678.6043764123275,1091.0645344127893
58,875.1662432234469,764.1226095164006,1086.1569887835826
59,875.2549565415292,764.0420198506524,1115.5595439092135
60,874.327602704906,722.1218043929651,737.5095648459396
61,784.8418849486951,782.5460870381867,738.1578871827428
62,745.8135145173969,782.6036199064765,700.2836205541416
63,745.1942097730047,876.4264966823803,629.9725528113727
64,745.6840599088268,846.5461797943004,750.6966180121055
65,745.4596844207232,846.8201357649832,692.2384314476305
66,783.4297009107802,847.1546661032663,603.1299459095434
67,722.6406730760842,885.8747066332197,603.4262987784248
68,699.3775670058725,852.6447954932216,603.4405069453915
69,646.8393303822226,808.7390965349537,603.4822192189263
70,608.5426339328914,808.9018830774596,549.7084485727519
71,608.7158724542807,754.7215866601134,549.542213295993
72,595.5803305064834,814.1133024474881,654.6502060879432
73,625.1896827335318,814.2964002822231,632.126777958928
74,625.1896827335318,814.2964002822231,632.126777958928
75,625.6167825154236,743.3540342147102,694.6718378774809
76,625.746333672297,709.0537180399339,705.3554707780132
77,685.2916239506918,812.3586613648838,694.3663920407141
78,742.8349028705987,761.6403248828452,694.0374479037716
79,788.026773520315,761.7882170656848,693.9004402844806
80,839.1243022425556,761.8814175570151,693.8126208577569
81,912.3702633051894,680.2987165922578,693.3298167732152
82,900.1530192576349,680.2519945752312,693.3727907574303
83,913.638075428544,614.593395349892,693.1036204532862
84,875.1220364437158,700.6857714321682,669.2222975204654
85,943.0093931557589,666.9091503228593,668.8839319729273
86,907.6951829150022,743.4277792555677,607.806059544316
87,959.2160217481813,743.6367586997711,607.6297745842227
88,1038.0768598658954,809.8775722595226,607.4567824212486
89,1038.0768598658954,809.8775722595226,607.4567824212486
90,1129.8396711368562,810.3445587021954,568.6392245324987
91,1190.2381125882894,810.6199416766552,538.8600917376707
92,1190.2381125882894,810.6199416766552,538.8600917376707
93,1170.3927291806697,810.5458631105103,538.9179121468335
94,1170.8851685550223,750.5952153343527,536.0553900660022
95,1134.55540845987,750.5144464864576,536.126758782969
96,1194.2894662329338,859.0370277666362,536.3262154569071
97,1181.2668062953906,763.1472558372792,473.6101400717879
98,1195.2202287011553,714.2773378537569,400.90425712726
99,1228.5878818689912,656.1034435148298,375.7435903428511
100,1140.603516151516,655.8424109568167,375.9362552958398
101,1076.1958917743243,655.3104078029103,536.1577637724746
102,1083.0360199894303,618.462281412864,500.9134794304929
103,1070.3670708940572,618.3449427194225,501.02944487530345
104,1074.3357894144592,618.3561716665959,501.0192282405878
105,1078.4406136234356,650.249043865277,556.9580631364586
106,999.4191036256847,650.0266682582688,557.1779976691836
107,931.9964514760077,587.3188812037394,557.1977860729662
108,848.2342498819719,510.8108053544313,493.85748402642247
109,728.7071677011544,510.5331728792587,494.1494476496546
110,781.9017155856353,444.73830630970923,493.99597160890545
111,773.9782032098835,444.7207882308829,494.0153189195052
