time,p_loss
0,1.9550746671038723
1,1.9753455273530562
2,2.2274688038783097
3,2.7788827074705296
4,3.5854985841097005
5,3.7575244953527545
6,4.033841627628135
7,4.574601510024877
8,5.052007620479344
9,25.84478194928306
10,6.074999797592682
11,6.715324849012177
12,6.500523807425452
13,7.071021959865902
14,6.80251578555999
15,7.084854893777447
16,19.52410348101421
17,19.52410348101421
18,18.981099060663837
19,6.685078857012741
20,6.685078857012741
21,6.739240708518992
22,7.263452091024192
23,8.907346121995943
24,9.406744616136166
25,9.938335071659822
26,9.693303522688439
27,9.693303522688439
28,11.029472307362084
29,11.54508687922862
30,9.240761040673533
31,9.142986386841585
32,9.109160765974593
33,9.248962939476769
34,9.088497750163697
35,9.392620462804189
36,10.008172286958143
37,10.035628913978144
38,10.035628913978144
39,10.159969932728927
40,10.146032692566223
41,10.363177192359217
42,10.734228325090953
43,11.63274162601465
44,11.609870134604535
45,10.739333533224453
46,10.098245054297877
47,10.098245054297877
48,10.358183333518355
49,12.18532686011713
50,11.894342212752235
51,12.131371706590471
52,11.852830087544135
53,12.886535380852365
54,13.996927011427033
55,16.82346606491683
56,16.724411078950652
57,16.650032040136466
58,18.626789793968783
59,19.134481624478212
60,13.850905634065384
61,13.394254227518104
62,12.792665384957218
63,13.695942444743196
64,14.280367305243999
65,13.722049408554994
66,13.174245871397943
67,13.041633480705059
68,12.19469283383387
69,10.930117224137575
70,10.587576958620957
71,9.586884653663219
72,10.9829513818122
73,11.139775375826503
74,11.139775375826503
75,10.764393965698218
76,10.149633599371555
77,12.270046533099048
78,11.748754151837602
79,12.226509665591038
80,12.509837172765401
81,12.981603629017627
82,12.800609509638889
83,12.348065616102758
84,12.412006919270425
85,13.382450051433807
86,12.721711496404168
87,13.566415303198482
88,15.537086427693794
89,15.537086427693794
90,17.595591105697167
91,19.1096249200109
92,19.1096249200109
93,18.553397152601974
94,18.181293047004147
95,17.587035345139157
96,19.87436021899157
97,18.267892423645208
98,18.736216575420258
99,19.35304357192399
100,16.660418617556388
101,15.560702010163368
102,15.355662474807104
103,14.31036814878189
104,14.413569721757995
105,14.855567408912975
106,13.042813824902623
107,11.073597101838459
108,8.880614047866402
109,6.964329813641598
110,7.352725000512692
111,7.237353394893034
112,7.590857445191432
113,6.883916134952415
114,7.066661663058767
115,7.07925518830325
116,7.5413544416223885
117,6.835466138954871
118,7.170035893459499
119,7.37614952561853
120,5.637065500865901
121,5.287692745769164
122,6.129452305495761
123,6.766300603496347
124,6.766300603496347
125,7.248554355370288
126,7.248554355370288
