time,voltage
0,252.0537209746028
1,252.06085226275752
2,252.04135354607934
3,252.0069262131602
4,251.90730428208525
5,251.8910470273015
6,251.8809842996975
7,251.85770291233126
8,251.80641471638904
9,252.09813686890982
10,251.81683562896265
11,251.75892614985082
12,251.75244392179056
13,251.71020947530224
14,251.73048059360764
15,251.69484010679847
16,251.22113998016889
17,251.22113998016889
18,251.2431711102666
19,251.74264780717112
20,251.74264780717112
21,251.7382570804652
22,251.7509091654624
23,251.68734390539754
24,251.64563990819101
25,251.59306382505952
26,251.62761530316928
27,251.62761530316928
28,251.58933617281073
29,251.56273009600815
30,251.71245322050655
31,251.71602886549104
32,251.71505619613419
33,251.7066122031399
34,251.71741520512614
35,251.7044586886381
36,251.70662127848442
37,251.71777999304464
38,251.71777999304464
39,251.7613123674547
40,251.75119158485265
41,251.74207275548048
42,251.7632187794363
43,251.7599435153869
44,251.6999420168465
45,251.68420701016737
46,251.6681831347538
47,251.6681831347538
48,251.6276953402722
49,251.57390099987992
50,251.59732114485885
51,251.601457173523
52,251.61594396504884
53,251.58124920393954
54,251.4971250333477
55,251.4810949228906
56,251.46637923936424
57,251.48305412779436
58,251.53144104943735
59,251.50735682772154
60,251.80234862470195
61,251.78079655990612
62,251.81244708427738
63,251.8935839904568
64,251.78519887419472
65,251.84495359344896
66,251.92280517961544
67,251.90669230644818
68,251.89589187128772
69,251.87449970478986
70,251.91434423954587
71,251.90916148110614
72,251.82479651674626
73,251.85087691735478
74,251.85087691735478
75,251.77994033374816
76,251.7655855433795
77,251.79227332793596
78,251.80051649806651
79,251.81528877475793
80,251.82357602466377
81,251.84096947755268
82,251.83697342235138
83,251.8350581739518
84,251.86098714396726
85,251.87994466704166
86,251.91582679918224
87,251.93268323047857
88,251.96072226915274
89,251.96072226915274
90,252.0223655829863
91,252.06384565444125
92,252.06384565444125
93,252.05734335557014
94,252.0408366021688
95,252.03173545969725
96,252.06111847116898
97,252.11181541716687
98,252.1949507768334
99,252.2388450003933
100,252.21000685284758
101,252.04737801526622
102,252.08227221556348
103,252.06948644130085
104,252.07078632629805
105,252.03223267429138
106,252.00635925159872
107,251.97829661832327
108,252.0134664859037
109,251.97436547353055
110,251.98586927426126
111,251.98327788676255
112,251.99045469616516
113,251.9744804227392
114,251.97772876688623
115,251.9733476347668
116,251.93765113928072
117,251.9622578498798
118,251.9652848781849
119,251.94830527456088
120,251.8514026082044
121,251.92445049932257
122,251.9522749367207
123,251.96965882597254
124,251.96965882597254
125,251.8975005270706
126,251.8975005270706
127,251.8975005270706
128,251.834051403847
129,251.84430776951567
130,251.7428718548062
131,251.74061006027108
132,251.69803312615804
133,251.7249534384795
134,251.74223086198992
135,251.74223086198992
136,251.72884186951376
137,251.72469339532913
138,251.753808670929
139,251.85304115298624
140,251.83677703476357
141,251.85333016082924
142,251.7925522517932
143,251.80844438227734
144,251.7973835179147
145,251.78448817714903
146,251.83546029087395
147,251.82812040109238
148,251.7628045730895
149,251.77962805623253
150,251.84684049818122
151,251.85003666583665
152,251.91290733825406
153,251.9437584438856
154,251.9437584438856
155,251.99268405436933
156,252.01116759967428
157,252.0462089748474
158,252.0462089748474
159,251.9457480510339
160,252.0008794975195
161,251.93481667899727
162,251.99549912024762
163,252.00619212472915
164,251.9999994685574
165,251.99871482664813
166,251.96649179155196
167,251.9829789716116
168,252.04246320731048
169,252.03938783781734
170,252.03002813561247
171,252.02446760677532
172,252.02074480310654
173,252.02030059479665
174,252.0302791811461
175,252.0612135465526
176,252.02592512033326
177,252.03904952818993
178,252.02393448670549
179,252.05998726100185
180,252.00638058318205
181,252.1041999594053
182,252.04655334665605
183,251.98992529959497
184,251.95067554561786
185,251.9414487873617
186,251.94804212115642
187,251.88996681536366
188,251.80752571195393
189,251.79331951776865
190,251.81276008880866
191,251.79072063388134
192,251.79072063388134
193,251.81065534692402
194,251.8620609099336
195,251.84499377794157
196,251.83925763738154
197,251.88144585053448
198,251.92309955240947
199,251.90454616630603
200,251.83831456417033
201,251.78465535152068
202,251.84676121072144
203,251.85766346942046
204,251.7679163996725
205,251.79140663023276
206,250.74953282679797
207,250.70923673115163
208,250.67176347130064
209,250.71095769863882
210,250.71798329583373
211,250.64914082966115
212,250.59731100130833
213,250.5852526467663
214,250.64040546852397
215,250.5882473927697
216,250.58680744256463
217,250.56907333089697
218,250.5970675232665
219,250.59395100430848
220,250.6003250578774
221,250.61594840888222
222,250.67197977009945
223,250.67638505744807
224,250.70735392454972
225,250.698145881704
226,251.7924150210533
227,251.78957044172842
228,251.7880206873939
229,251.82801159713043
230,251.8311731827165
231,251.8908709077241
232,251.95799735467784
233,251.96354472715058
234,251.91266263695354
235,251.93046222957165
236,251.88164177082055
237,251.9064225569516
238,251.97372012914906
239,252.01075696430416
240,252.09078729637082
241,252.08712175758822
242,252.067308281857
243,252.07849322888472
244,252.06781653914405
245,252.00526804664509
246,252.01916336196768
247,251.96682164462266
248,251.9695151344139
249,251.9695151344139
250,251.9722868305618
251,251.98128521120023
252,251.99533515759506
253,251.90782945766844
254,251.88553881227944
255,251.81460549987517
256,251.8374047503894
257,251.78533379952225
258,251.78533379952225
259,251.72045391425772
260,251.70838493485138
261,251.72966862204655
262,251.74888021501945
263,251.77682337332735
264,251.7872787171689
265,251.84271651246428
266,251.85949309922844
267,251.93100492435042
268,251.89355301783147
269,251.84744828541196
270,251.87823739034857
271,251.88657704950833
272,251.83022973711846
273,251.87190062982637
274,251.81652516623353
275,251.77584228302777
276,251.78232897264377
277,251.88935783370093
278,251.87544350416553
279,251.8926427182422
280,251.8926427182422
281,251.8249075180537
282,251.8538050050711
283,251.82037319401664
284,251.83541847846342
285,251.83541847846342
286,251.79976642268286
287,251.8240784770307
288,251.8825923699911
289,251.89178088612528
290,251.87677899877582
291,251.93780826754073
292,251.95411670234967
293,251.96442121385667
294,251.98217074186505
295,251.98260913156096
296,251.99460348182498
297,252.00935482603936
298,252.0139020643982
299,251.9751275689641
300,251.9936820450525
301,252.0422269332017
302,252.0484803199651
303,252.05443873921868
304,252.02724446309958
305,252.02503185214502
306,251.9676760346046
307,251.94816408138172
308,251.90097267963407
309,251.9115611444557
310,251.83416615920996
311,251.86353685116802
312,251.91411692977826
313,251.91198482354406
314,251.99709204084888
315,251.97186568684927
316,251.9781928989054
317,251.9465791662562
318,251.91499315411312
319,251.8707895342469
320,251.81696602757552
321,251.81696602757552
322,251.81331209434362
323,251.78281183579543
324,251.7580160234761
325,251.7343533911797
326,251.11894534296755
327,251.06651290416772
328,251.1298785518211
329,251.77174705114476
330,251.90610901401163
331,251.9063594400718
332,251.85168178541215
333,252.0972397342677
334,252.0908713138875
335,252.13360408900465
336,251.8428087328475
337,251.84107412961663
338,251.78368927824565
339,251.78608213098315
340,251.70643384032067
341,251.775342324708
342,251.60413147993654
343,251.4266311960292
344,251.31150811508664
345,251.34698353610395
346,251.50049166607877
347,251.54565467954887
348,251.56426875361788
349,251.53692626449575
350,251.49004441864636
351,251.48598135161055
352,251.49388058493648
353,251.4298875450753
354,251.38669613206196
355,251.38175170681882
356,251.47820656459402
357,250.82743538253297
358,251.05850294823665
359,251.11165763830263
360,251.88755761520088
361,251.8508812724033
362,251.8992022859665
363,251.66945627598858
364,251.80601294918094
365,251.77488474374738
366,251.76973683174805
367,251.74997903073998
368,251.73930743573464
369,251.72321348402716
370,251.77732360530067
371,251.80628817960076
372,251.80958020452303
373,251.83195863047146
374,251.89491049964835
375,251.9408499944722
376,251.95557898123332
377,251.89562691139767
378,251.87656258436155
379,251.8394451005376
380,251.808744918477
381,251.8216443994717
382,251.82660259632172
383,251.86208252748338
384,251.92417702932607
385,251.96863264315743
386,251.51298294296174
387,251.7066677084596
388,251.70812685924255
389,251.682216384191
390,251.54548155034314
391,251.56752874777527
392,251.5611163266598
393,251.57189439548026
394,251.46899955528946
395,251.46317487127422
396,250.7845473051694
397,250.7825788726217
398,250.75867588385213
399,250.74477172714583
400,250.76592838321844
401,250.752223095968
402,250.78710631072997
403,250.72268907776225
404,250.74335428050338
405,250.74564384212738
406,250.75553661249387
407,250.7961918708351
408,250.80239556559545
409,251.6601404901416
410,251.64063616533093
411,251.6117268588974
412,250.59908860949375
413,250.56029421531022
414,249.369866232571
415,249.47438725929717
416,248.11674767417028
417,248.2574598210278
418,248.36124398786308
419,250.4292123183835
420,250.34417312609975
421,250.2233389344276
422,250.17035010126028
423,250.1926244176088
424,250.34904003197462
425,250.3552104033335
426,247.001697607574
427,246.79724687721844
428,246.88030972658999
429,251.44317539806278
430,251.42956619766588
431,251.43093663074936
432,250.78905398950894
433,250.7680023229295
434,251.73374619521363
435,251.33263411702717
436,251.2813752498228
437,251.25068887711288
438,251.5597040883367
439,251.67369723449406
440,251.6776859338293
441,251.80691096935357
442,251.83457368688926
443,251.8133237384106
444,247.90690689711084
445,247.8574230093661
446,248.22156884976098
447,251.81985020315415
448,251.81483076553482
449,251.40062432985226
450,251.3501270554739
451,251.39800360888353
452,251.47077930110814
453,251.43905429229815
454,251.5012319393017
455,251.45624038662473
456,251.42031689001985
457,251.31643967620295
458,251.44463259918413
459,251.5802046940101
460,251.5222662515839
461,251.6604252909759
462,251.63113605246693
463,251.86024950419056
464,250.93458885060005
465,251.05272632896492
466,250.67718252755063
467,251.36937055710027
468,250.04718435939427
469,249.93876017381132
470,250.27748161187424
471,249.716964974408
472,249.70447916377748
473,249.83280302310092
474,250.41679311784355
475,250.51688560044968
476,246.67474182318918
477,246.09337219798195
478,246.10531438499984
479,249.9859203632515
480,249.62216048167866
481,249.69229945812594
482,249.422423756019
483,249.9518441037757
484,250.72986985004295
485,250.33309228454155
486,250.346291117676
487,249.5088956559195
488,250.08828449536767
489,250.68711222615707
490,250.27317056772412
491,250.33607366892
492,251.40953254196484
493,251.39707393499108
494,250.78506215707262
495,249.59878966191837
496,250.5144107172633
497,251.01678574564292
498,250.95547010990873
499,250.09690731717163
500,250.04810559207908
501,249.9680306510781
502,249.6939254440576
503,249.69087741972055
504,249.69624697494484
505,249.98578242666284
506,250.71491432166943
507,250.7904037753632
508,250.82741752219513
509,251.2032133203089
510,251.20966520035284
511,251.17018596399672
512,250.8760216206296
513,251.1780883139947
514,252.08261913595643
515,252.06239056538342
516,251.8594072463922
517,251.61725776116518
518,251.5654349652532
519,251.79453867928132
520,251.64226305051173
521,251.71406799051763
522,251.7272991350703
523,251.59722175214858
524,251.66143472122914
525,251.71984175626054
526,250.85293103457832
527,250.7424854642343
528,250.18061039779536
529,250.25878440920664
530,249.42835441684025
531,249.9253895498247
532,249.8838697248457
533,250.7150764535125
534,250.74495886276281
535,250.7661952799702
536,250.8065941963032
537,251.04732952528596
538,251.04901425255056
539,250.93363111257094
540,250.25377664424215
541,250.21202589206501
542,251.21250056857673
543,251.7524607171082
544,251.99137256616254
545,248.2512054102102
546,248.28494799158292
547,248.25185714291305
548,252.03916980950186
549,251.77982582953845
550,251.73172465208074
551,251.04701732635147
552,250.86808472911207
553,250.92797295850016
554,251.71783848693738
555,251.68298495901817
556,251.7362773505561
557,251.6169732164007
558,251.6985444855898
559,251.69910849017052
560,251.71753300720985
561,251.78178731466866
562,251.8285782270615
563,253.10909768517854
564,252.9254698793131
565,253.24716551578595
566,251.9986956588543
567,252.17283292986545
568,251.80507741573132
569,251.57358059151946
570,251.54019075230886
571,251.68006267984134
572,252.19470487423197
