time,phase1,phase2,phase3
0,(1046.9006733820522+347.3456488564524j),(926.6102489308928+304.6895393397545j),(815.4441523541591+268.0175778630088j)
1,(1046.8970366116982+347.3204873653448j),(956.6734686657605+314.5781248750877j),(792.4048402498943+260.4612331466035j)
2,(1116.059109836762+370.08355119971066j),(956.6315475424053+314.5764109474536j),(892.5368114247109+293.3370230252853j)
3,(1326.3900511761583+439.31575157577066j),(956.5547923136+314.5715223084297j),(1065.834039217712+350.2069801448328j)
4,(1386.4569730294295+459.2290527631173j),(1016.5989798944674+334.2296936683526j),(1348.5295456602125+443.04647724647634j)
5,(1326.1962430174879+439.389236742826j),(1134.9190902002597+373.03651453013595j),(1388.6421912776054+456.3520364468104j)
6,(1438.377989122739+476.31296097964133j),(1134.8817117670142+373.0445288908573j),(1438.7741407378749+472.77589776419643j)
7,(1538.678851500356+509.3611490034104j),(1134.8104017182468+373.0522931563139j),(1547.0853482914224+508.2671655360836j)
8,(1538.6144864811783+509.4691674458569j),(1134.7620937621605+372.96648298390693j),(1699.67542737714+558.3489778346348j)
9,(3973.961955805249+1307.59183896056j),(1133.8783302200632+374.5694809257046j),(1563.0044959239708+511.6975439409146j)
10,(1767.7597166909343+584.873975601116j),(1074.4971751093208+353.3413188896207j),(1732.8181079973372+568.9050386551005j)
11,(1767.671364126384+585.0223058018423j),(1074.445872781081+353.2500811374567j),(1928.598087941547+633.1379188189933j)
12,(1707.3984307459618+565.2028134774346j),(1074.4662635761642+353.21562669029896j),(1928.6358294852994+633.2048116611329j)
13,(1707.3357566982475+565.3165247224324j),(1074.4264288086845+353.14534761509196j),(2054.3088364529335+674.4050319372802j)
14,(1707.3658161277788+565.2662368039512j),(1074.4443533668991+353.1771815947724j),(1993.992346290882+654.6290925001107j)
15,(1667.1508109544288+552.1257721992071j),(1074.4303869920213+353.10511296650975j),(2110.5036569473273+692.9035099637595j)
16,(1666.431342088038+553.1611102733033j),(1174.1715663644381+385.18464977094214j),(4119.921195028538+1352.0764747252306j)
17,(1666.431342088038+553.1611102733033j),(1174.1715663644381+385.18464977094214j),(4119.921195028538+1352.0764747252306j)
18,(1666.4631538372998+553.1080812456919j),(1174.1930890286642+385.22276745420965j),(4054.3248561947+1330.5833254539582j)
19,(1707.3682384162228+565.194199005091j),(1114.5360590911769+366.36563169784824j),(1984.780781349613+651.6939689980953j)
20,(1707.3682384162228+565.194199005091j),(1114.5360590911769+366.36563169784824j),(1984.780781349613+651.6939689980953j)
21,(1707.3617300141075+565.2050924342376j),(1114.532014582348+366.3584502776246j),(1997.8454961120638+655.9784808659562j)
22,(1929.9822948001492+638.4533746861299j),(1114.4764972885769+366.43978366081694j),(2014.8046600022983+661.4101354744548j)
23,(2113.821166525426+699.3246494137114j),(996.0793080172168+327.53895529720774j),(2269.0068715793527+744.4146172864749j)
24,(2113.6952744759556+699.267081042895j),(1166.2833381317164+383.43721191758664j),(2393.428132008464+785.4346528143449j)
25,(2077.417219573894+687.4989049483664j),(1166.253753418315+383.3378288526557j),(2514.267362079451+825.050041293375j)
26,(2077.441395392335+687.4584153159134j),(1166.2667534476927+383.3609790241658j),(2449.9851546826603+803.9571398124485j)
27,(2077.441395392335+687.4584153159134j),(1166.2667534476927+383.3609790241658j),(2449.9851546826603+803.9571398124485j)
28,(2196.9823950852847+726.9803267682108j),(1166.1698648415872+383.35218256214165j),(2650.87721238049+869.7127257985724j)
29,(2196.888068625021+727.0063630258094j),(1226.248912205241+403.0473136273927j),(2781.4081060489666+912.6473903661155j)
30,(2256.0555555243614+745.9430455697753j),(1166.3051007222448+383.5521727089991j),(2385.880104794067+783.0586000321464j)
31,(2256.0894511021133+745.971178448646j),(1126.240020267145+370.38952756263166j),(2365.8135150175835+776.422822400762j)
32,(2247.046617257115+742.996177698503j),(1126.243119986443+370.3842866036844j),(2365.819423522417+776.4332312383541j)
33,(2247.0303720654515+743.0233348219458j),(1126.2351583148106+370.3701056275381j),(2400.983432559214+787.9673056115414j)
34,(2247.0503000201297+742.9900061507603j),(1126.245231590553+370.38805165598126j),(2360.792966139481+774.7856602538459j)
35,(2246.9538793078686+742.9216897657116j),(1230.4287783685647+404.6123914971582j),(2421.009962786371+794.6779204822583j)
36,(2367.5026481889513+782.616408739362j),(1230.3766411198687+404.6620972419746j),(2461.128882978138+807.7252051115922j)
37,(2367.54252875172+782.5497729818711j),(1230.3945246136313+404.69393979553547j),(2468.0985755486267+810.0600556717665j)
38,(2367.54252875172+782.5497729818711j),(1230.3945246136313+404.69393979553547j),(2468.0985755486267+810.0600556717665j)
39,(2356.066134162188+778.5583502057843j),(1230.3973086192505+404.8062534159121j),(2386.69652715129+783.3300099224923j)
40,(2356.0345390355055+778.6112131607774j),(1230.3832699886134+404.78124757576404j),(2396.7282236684478+786.6002565887202j)
41,(2355.9756682365937+778.5808229329281j),(1384.505087887489+455.4546345119944j),(2436.882421068277+799.851477451039j)
42,(2456.650050921731+811.6093691924375j),(1384.4761001370907+455.5434983754824j),(2389.608077266269+784.2500572533145j)
43,(2600.5943024884773+859.0045164854725j),(1384.3956166480243+455.60126152338063j),(2396.642822489513+786.3580745210776j)
44,(2295.342920944449+758.7816856942394j),(1384.4187931778856+455.36488508224204j),(2615.84815601227+858.4814007901507j)
45,(2111.3525806598295+698.2717703804179j),(1384.4946284302382+455.2521252762615j),(2600.8921244431567+853.7624316516478j)
46,(1975.591459592544+653.6712449181367j),(1303.4788412830817+428.5327989478928j),(2601.0279441786724+853.8640787051017j)
47,(1975.591459592544+653.6712449181367j),(1303.4788412830817+428.5327989478928j),(2601.0279441786724+853.8640787051017j)
48,(2047.2478378009725+677.4158394813708j),(1303.46226216905+428.4378735951324j),(2705.648083363496+888.215799415179j)
49,(2171.6709703833026+718.4281971195919j),(1467.7737665736722+482.41359308922074j),(2920.7405899031423+958.8627372885962j)
50,(2171.6474301611893+718.2610629650386j),(1568.0614424589867+515.3815687373377j),(2836.1854695925767+931.2804744911448j)
51,(2171.5519468324683+718.0913290510211j),(1700.50440809381+558.883357311869j),(2836.075016780312+931.467018833618j)
