time,phase1,phase2,phase3
52,(2171.577823209073+718.0480143873492j),(1700.5243636623459+558.9187845512098j),(2775.750643216126+911.6681862548926j)
53,(2171.424121297615+718.0099651445408j),(1810.9612551404332+595.1008251756532j),(2934.501158942804+963.9697351345695j)
54,(2085.9579681599903+690.213414966451j),(1810.8620319725958+594.7857059803364j),(3171.176926878841+1041.6983378096768j)
55,(2458.950065192526+813.0051900814685j),(1964.9040502671114+645.7116042009919j),(3337.96935060528+1096.089372343844j)
56,(2398.5449030804366+793.1770165628398j),(1964.9292168490683+645.6230419083154j),(3372.2502911494453+1107.4230773929614j)
57,(2398.5041569454343+793.0123870903561j),(2065.3350582082094+678.6043764123275j),(3321.810816886493+1091.0645344127893j)
58,(2649.828720819654+875.1662432234469j),(2324.6577664651004+764.1226095164006j),(3306.1403025092145+1086.1569887835826j)
59,(2649.775770923541+875.2549565415292j),(2324.6122887457923+764.0420198506524j),(3395.746421955144+1115.5595439092135j)
60,(2650.534793604588+874.327602704906j),(2194.570029592888+722.1218043929651j),(2244.746082436589+737.5095648459396j)
61,(2378.56603669167+784.8418849486951j),(2380.060740402031+782.5460870381867j),(2244.7674771338166+738.1578871827428j)
62,(2260.3202369640635+745.8135145173969j),(2380.1879796898797+782.6036199064765j),(2129.2844487310135+700.2836205541416j)
63,(2260.251969853598+745.1942097730047j),(2665.2764475581257+876.4264966823803j),(1914.1675250330195+629.9725528113727j)
64,(2260.100254514639+745.6840599088268j),(2575.455936740402+846.5461797943004j),(2281.7241760502034+750.6966180121055j)
65,(2260.2333227447484+745.4596844207232j),(2575.611367120185+846.8201357649832j),(2103.8773595436214+692.2384314476305j)
66,(2376.531394832432+783.4297009107802j),(2575.7605062188786+847.1546661032663j),(1832.8823448200874+603.1299459095434j)
67,(2191.41679865336+722.6406730760842j),(2694.7006471198724+885.8747066332197j),(1832.9241877074733+603.4262987784248j)
68,(2119.958787710257+699.3775670058725j),(2594.201229591842+852.6447954932216j),(1833.0346755317341+603.4405069453915j)
69,(1959.3266658867467+646.8393303822226j),(2461.387513085774+808.7390965349537j),(1833.2159382516168+603.4822192189263j)
70,(1843.3917066546962+608.5426339328914j),(2461.462448341275+808.9018830774596j),(1669.73342196265+549.7084485727519j)
71,(1843.489119191355+608.7158724542807j),(2296.265576074518+754.7215866601134j),(1669.8321893877903+549.542213295993j)
72,(1803.0943894215245+595.5803305064834j),(2478.122832157135+814.1133024474881j),(1988.765729803153+654.6502060879432j)
73,(1893.5655062457429+625.1896827335318j),(2478.0861023086336+814.2964002822231j),(1920.4881668214502+632.126777958928j)
74,(1893.5655062457429+625.1896827335318j),(2478.0861023086336+814.2964002822231j),(1920.4881668214502+632.126777958928j)
75,(1893.5719608786749+625.6167825154236j),(2262.5576686747268+743.3540342147102j),(2111.634764412297+694.6718378774809j)
76,(1893.626399282676+625.746333672297j),(2157.887205152071+709.0537180399339j),(2144.6360291646242+705.3554707780132j)
77,(2076.067059600994+685.2916239506918j),(2472.1235876743203+812.3586613648838j),(2110.0793992577846+694.3663920407141j)
78,(2250.7157054712875+742.8349028705987j),(2316.9184278771195+761.6403248828452j),(2110.1146208034306+694.0374479037716j)
79,(2388.3585644792765+788.026773520315j),(2316.8305989953187+761.7882170656848j),(2110.037346190996+693.9004402844806j)
80,(2543.746792522888+839.1243022425556j),(2316.7752555977086+761.8814175570151j),(2109.98778905217+693.8126208577569j)
81,(2766.5227134766756+912.3702633051894j),(2067.464717127734+680.2987165922578j),(2109.994173024608+693.3298167732152j)
82,(2729.289698127225+900.1530192576349j),(2067.4924541047026+680.2519945752312j),(2110.018457277711+693.3727907574303j)
83,(2769.6985295206114+913.638075428544j),(1867.5255871694962+614.593395349892j),(2110.123948925995+693.1036204532862j)
84,(2653.474951784232+875.1220364437158j),(2129.139149825127+700.6857714321682j),(2036.7979053099111+669.2222975204654j)
85,(2859.9967681354387+943.0093931557589j),(2025.6814907413827+666.9091503228593j),(2036.704191174612+668.8839319729273j)
86,(2753.343959701939+907.6951829150022j),(2258.2274969154737+743.4277792555677j),(1850.1502548789913+607.806059544316j)
87,(2910.41244032892+959.2160217481813j),(2258.103462344394+743.6367586997711j),(1850.0505126298838+607.6297745842227j)
88,(3151.3158432907294+1038.0768598658954j),(2458.3466720451115+809.8775722595226j),(1849.8745710918529+607.4567824212486j)
89,(3151.3158432907294+1038.0768598658954j),(2458.3466720451115+809.8775722595226j),(1849.8745710918529+607.4567824212486j)
90,(3432.0495384533024+1129.8396711368562j),(2458.1849509284375+810.3445587021954j),(1732.3611017239577+568.6392245324987j)
91,(3616.9413455459962+1190.2381125882894j),(2458.1032795480332+810.6199416766552j),(1642.0649998259817+538.8600917376707j)
92,(3616.9413455459962+1190.2381125882894j),(2458.1032795480332+810.6199416766552j),(1642.0649998259817+538.8600917376707j)
93,(3556.308233337574+1170.3927291806697j),(2458.1475016753084+810.5458631105103j),(1642.097662139719+538.9179121468335j)
94,(3556.4226952714243+1170.8851685550223j),(2276.4223665179834+750.5952153343527j),(1634.336231257596+536.0553900660022j)
95,(3445.739902956008+1134.55540845987j),(2276.4705599927015+750.5144464864576j),(1634.3765723964298+536.126758782969j)
96,(3629.743898168457+1194.2894662329338j),(2605.042863450053+859.0370277666362j),(1634.0875986004817+536.3262154569071j)
97,(3589.9362048820376+1181.2668062953906j),(2313.685475757542+763.1472558372792j),(1443.6462117840658+473.6101400717879j)
98,(3634.1357872314184+1195.2202287011553j),(2164.4728332879677+714.2773378537569j),(1222.1275960560345+400.90425712726j)
99,(3735.5410650183117+1228.5878818689912j),(1987.7555579180125+656.1034435148298j),(1146.056420635599+375.7435903428511j)
100,(3466.58349255191+1140.603516151516j),(1987.9118209985543+655.8424109568167j),(1146.1651050670928+375.9362552958398j)
101,(3267.4683184539244+1076.1958917743243j),(1987.8060062764407+655.3104078029103j),(1634.2863772797982+536.1577637724746j)
102,(3288.7748500579664+1083.0360199894303j),(1875.5961821995907+618.462281412864j),(1526.9846302172496+500.9134794304929j)
103,(3249.5939464360813+1070.3670708940572j),(1875.6663998525446+618.3449427194225j),(1527.0500218601567+501.02944487530345j)
104,(3261.709617663889+1074.3357894144592j),(1875.6597041166235+618.3561716665959j),(1527.0442479412459+501.0192282405878j)
105,(3273.677096365327+1078.4406136234356j),(1972.749903150454+650.249043865277j),(1697.4285678931324+556.9580631364586j)
106,(3032.6075144730307+999.4191036256847j),(1972.882466471581+650.0266682582688j),(1697.5528328802907+557.1779976691836j)
107,(2826.0075983728857+931.9964514760077j),(1783.2998633555248+587.3188812037394j),(1697.766135373427+557.1977860729662j)
108,(2571.3807149150944+848.2342498819719j),(1551.2094304867242+510.8108053544313j),(1504.2904686460477+493.85748402642247j)
109,(2207.134547964413+728.7071677011544j),(1551.3743375475467+510.5331728792587j),(1504.4554443016827+494.1494476496546j)
110,(2368.8299104091684+781.9017155856353j),(1351.0904283458592+444.73830630970923j),(1504.432386245485+493.99597160890545j)
111,(2344.6932039188+773.9782032098835j),(1351.1008273057605+444.7207882308829j),(1504.4433221703323+494.0153189195052j)
112,(2463.1031838824783+812.8985888693018j),(1351.0743663117883+444.76532132844244j),(1504.4133072509246+493.9621767918033j)
113,(2314.2708350399494+764.0527406699387j),(1351.1384560287138+444.657643206802j),(1504.4746250662893+494.070814054373j)
114,(2314.204926942201+763.9358218006033j),(1455.434806019081+478.96275838642566j),(1504.426928701777+494.1515432120564j)
115,(2314.189283324541+763.9620791193819j),(1455.4196398350932+478.9356911622041j),(1517.4703320286692+498.43749750989446j)
116,(2307.663146108716+762.0183339321618j),(1313.9066087884498+432.4179269301634j),(1683.971599544457+552.8963511994688j)
117,(2124.176210584711+701.5390281725093j),(1313.9910920558664+432.4302271823768j),(1577.6681634983772+518.094396607218j)
118,(2153.675617794769+711.172701009295j),(1291.8369634057285+425.2131476035243j),(1577.657454692962+518.0356982079475j)
119,(2153.565604602994+711.0304658558667j),(1424.229495430958+468.76144142500954j),(1559.5810494916673+512.2049468156904j)
120,(1630.9972180037162+539.5986143835299j),(1424.4051056514804+468.2750066337981j),(1681.234741845669+552.4895440818495j)
121,(1631.049308494639+539.3572228792501j),(1563.8022372977118+514.2119621790682j),(1405.4361469534185+461.97980423500985j)
122,(1957.12229021826+646.4736718434738j),(1563.6823705466188+514.4139020009023j),(1405.324791540617+461.78170029521635j)
123,(2129.02726479561+702.9140643915504j),(1466.476251681504+482.61959083730665j),(1405.2627841263825+461.61939877154487j)
124,(2129.02726479561+702.9140643915504j),(1466.476251681504+482.61959083730665j),(1405.2627841263825+461.61939877154487j)
125,(2128.896339961912+703.1338989463928j),(1466.3869961539995+482.46110984697464j),(1619.9652182394593+532.0851384246474j)
126,(2128.896339961912+703.1338989463928j),(1466.3869961539995+482.46110984697464j),(1619.9652182394593+532.0851384246474j)
127,(2128.896339961912+703.1338989463928j),(1466.3869961539995+482.46110984697464j),(1619.9652182394593+532.0851384246474j)
128,(2128.759139107061+703.3637885381812j),(1466.286097345403+482.28209933898506j),(1808.7768665332205+594.0321850719295j)
129,(2128.5303178794825+702.966566072971j),(1794.636443488248+590.142698307856j),(1808.5647960639271+594.3835719056698j)
130,(1654.7763313582145+547.5043241556674j),(1794.7610265122944+589.5838275909942j),(1986.6377432665645+653.1865358338914j)
131,(1796.2767871495544+593.9472307397338j),(1965.187219504597+645.6784332111439j),(2076.781684102933+682.8477250447017j)
132,(1796.271295473595+594.1519158808658j),(1860.6749905907325+611.2862305117774j),(2240.4875209418087+736.4843633750636j)
133,(1987.2144939988502+656.713910048126j),(2015.0264307078291+662.2488666567374j),(2231.297297908021+733.4328383083204j)
134,(2148.052809835363+709.5318975449318j),(2014.9051211119104+662.4535231932624j),(2231.172684547594+733.2126021333111j)
135,(2148.052809835363+709.5318975449318j),(2014.9051211119104+662.4535231932624j),(2231.172684547594+733.2126021333111j)
136,(2023.4382428486108+668.5931145444542j),(2014.9863247305598+662.3164024641505j),(2231.2629104314933+733.371946212769j)
137,(2023.5255056672177+668.7482058517262j),(1882.3997264993195+618.7871756884936j),(2231.363817531251+733.2016303871978j)
138,(2023.5351329192906+668.5716352169528j),(1994.7962442677172+655.7858064150228j),(2144.811440255542+704.9112498950312j)
139,(2023.6877565423326+668.3152678277941j),(1994.933316257205+656.0286528042038j),(1881.67598085025+618.5112545010597j)
140,(1920.2130016995236+634.5330330969362j),(1830.258631495582+601.8159738403218j),(1881.8407829002604+618.426420261095j)
141,(2087.192351238193+689.3489971684378j),(1844.9887628388724+606.8924774813271j),(1881.7764568833768+618.2216804021608j)
142,(2087.071454972186+689.5518197435485j),(1844.8978835374942+606.7312328294537j),(2062.650870749591+677.5620625456181j)
143,(2209.3971879802034+729.5851034644667j),(2021.5143745569512+664.8631323070181j),(2062.469216135121+677.6665830983021j)
144,(1986.5570854396478+656.1772456450782j),(2203.370354111721+724.4221516261956j),(2062.456284278437+678.0252931304041j)
145,(1854.7185935382072+612.7813078024724j),(2350.235152336195+772.3898979294403j),(2062.4684421667303+678.4007055038214j)
146,(1970.7338457214967+650.5849466870789j),(2634.9684603993464+865.9726947995157j),(1898.7302714795142+624.9287720167079j)
147,(2257.1043345750786+744.661024469222j),(2634.6246383587113+866.2611485771622j),(2057.027057710178+676.7000835665538j)
148,(2095.9867509489845+691.8482423496271j),(2834.9451336734537+931.5003614657506j),(2218.7064656630178+730.3057258769534j)
149,(2096.132899578257+691.9784000781648j),(2679.860339462414+880.7140821455582j),(2128.5138106804393+700.3953614541003j)
150,(2252.4578062508563+743.1363913660779j),(2679.9980686315103+881.0562623029059j),(1939.554403643776+638.2564943733839j)
151,(2333.12272378422+769.7646080053662j),(2505.8881383003977+823.9782282598492j),(1939.6126171131225+637.9957001886814j)
152,(2333.1762134625956+769.4444128215597j),(2606.583422561529+857.2585176450457j),(1761.8237562742356+579.671466206456j)
153,(2660.4577937141557+876.802104507238j),(2435.581868227668+801.5802330791612j),(1761.7204973901796+579.2354776339332j)
154,(2660.4577937141557+876.802104507238j),(2435.581868227668+801.5802330791612j),(1761.7204973901796+579.2354776339332j)
155,(2469.2926610521845+813.9838343814414j),(2281.2998375207976+750.7779906424809j),(1545.157372688904+508.10915171585015j)
156,(2630.2052391912785+866.6532939596996j),(2287.4141392413167+753.0581747196159j),(1545.0617411649137+508.0037112867303j)
157,(2630.281865470626+866.5241285604803j),(2287.483400294625+753.1808592160745j),(1440.784322132544+473.7399139499451j)
158,(2630.281865470626+866.5241285604803j),(2287.483400294625+753.1808592160745j),(1440.784322132544+473.7399139499451j)
159,(2774.273368509493+914.1845831673588j),(2287.121354736051+752.9866286842977j),(1848.8599495012554+607.6685861298658j)
160,(2814.4635455747984+927.1634624688126j),(2287.216303197522+753.1770312615084j),(1647.296382212737+541.4458622648411j)
161,(2524.576178652732+832.3831833716619j),(2133.0412956023747+701.9351949664406j),(1754.8358762748917+576.8993445180686j)
162,(2524.7158804131395+832.1478128576402j),(2133.1714969210066+702.1655725844714j),(1574.2437064771034+517.5654086372488j)
163,(2584.5805848515292+851.514884569916j),(2580.975018462545+849.4713923204313j),(1574.089194271589+517.8047874119052j)
164,(2468.4948744901576+813.453742992788j),(2471.255247546623+813.3685948117128j),(1574.1585298217146+517.729594243341j)
165,(2556.0506049138758+842.574452192644j),(2147.4001749070594+706.9652386163272j),(1574.288501346054+517.40750768225j)
166,(2555.906547341065+842.5690962368674j),(2355.927833938581+775.4850873442016j),(1718.6263011823482+564.9259106368037j)
167,(2308.527347370768+761.24700006654j),(2505.4816615482205+824.4902779140424j),(1560.2773565129864+513.095614786959j)
168,(2408.3537947518994+793.9152350358795j),(2330.6184690223263+767.2786424112095j),(1398.8467551563597+459.8414579412512j)
169,(2290.6322634598955+755.1561559721164j),(2475.563999963114+814.7789009114621j),(1398.8199061373589+460.0282579181454j)
170,(2290.8379952428804+755.51977442925j),(2175.1464022036653+715.9656131013326j),(1398.9474694742566+459.81259612027026j)
171,(2231.104409461545+735.819708523752j),(2362.357581675854+777.3220425690055j),(1398.907549477758+460.051943463686j)
172,(2074.913959118413+684.441199203565j),(2362.382958506479+777.2793057704636j),(1398.9220119749416+460.0775950004192j)
173,(2070.6742208741907+683.1188146357433j),(2362.4025450313443+777.2467866726389j),(1398.9289780524343+460.0901616814927j)
174,(2232.361306516029+736.3197280931058j),(2243.766659264473+738.3767889941985j),(1398.9289328921404+459.91243151535224j)
175,(2553.977928650042+841.8385542085772j),(2243.6019987553+738.6534551813702j),(1398.814322748581+459.70895014600444j)
176,(2553.900561145951+841.9686364141749j),(2243.5447646323432+738.5517820068046j),(1530.1074745299331+502.83372880315335j)
177,(2728.660122282285+899.3583858155145j),(2243.4718343272216+738.6742394491262j),(1530.0504583622835+502.73243705065863j)
178,(2657.78755826409+876.2325204085489j),(2243.567703098456+738.513114212098j),(1530.1146220364972+502.8462879513199j)
179,(2657.874462854533+876.0863646225538j),(2243.6503228628694+738.6593785091384j),(1422.8171535643205+467.5842226210109j)
180,(2764.3710773345742+911.3504026484804j),(2243.4784087810976+738.558795069534j),(1616.3735231508958+531.0292591239132j)
181,(2580.507534163756+850.5668107087256j),(2094.4858018259415+689.5844070441195j),(1208.516723477489+397.17608142787765j)
182,(2645.4347284787673+872.0413389292693j),(2183.7908764686526+718.8718322314157j),(1360.7916140696568+447.2636743614112j)
183,(2830.1319055755903+932.9813710545586j),(2183.576802238002+718.8226860144405j),(1573.3077578133275+516.9592062837917j)
184,(2900.1563128867565+956.219307427237j),(2183.497644481766+718.7185276226273j),(1743.7307927674378+572.9205446336135j)
185,(2900.39643942725+956.6443658720631j),(1736.1187429319393+571.5245823802607j),(1743.8896666081098+572.6516891259221j)
186,(2932.6304896084944+967.2179736710722j),(1736.1177955944222+571.5438636187976j),(1716.8260197732127+563.7324270324228j)
187,(2719.4307423315663+897.3532154114121j),(1736.147315705413+571.2856767038168j),(1823.3153040145125+598.8175000642755j)
188,(2719.5015613621363+897.9093775830664j),(1346.0516712959948+442.9008653676881j),(2006.201791555928+658.4837095119008j)
189,(2596.0924701177437+857.4787054756987j),(1201.6346893325394+395.35981829628525j),(2006.3493515464638+658.4214690187757j)
190,(2730.1869123517304+901.5058183680758j),(1201.5614074330842+395.4834891914361j),(2006.2384676232484+658.2259414535968j)
191,(2953.140759112977+975.0013785499069j),(1201.466380409308+395.5101935689525j),(2121.6808561012226+695.909899537172j)
192,(2953.140759112977+975.0013785499069j),(1201.466380409308+395.5101935689525j),(2121.6808561012226+695.909899537172j)
193,(3244.0560162439338+1070.8885898080705j),(1014.9323488671794+334.30593414917183j),(2121.652774804954+695.4165910017169j)
194,(3082.354281768087+1017.3378812331312j),(1015.037472251579+334.36423303750996j),(1927.8390445769865+632.0823450486964j)
195,(3067.2326613155574+1012.242564964466j),(1169.3660968329937+385.15055786351843j),(1987.9982032962328+651.9811372953559j)
196,(3057.1894371153344+1008.9841234553152j),(1169.356711388978+385.13113231014626j),(1978.0699737061975+648.6844908706244j)
197,(2684.143847991882+885.8467007564741j),(1334.0223912381994+439.186305515277j),(1765.2561407991539+579.4027795880208j)
198,(2778.35034152413+916.6748734889073j),(1334.0643192759387+439.2750236680472j),(1594.8003847021805+523.4488279579077j)
199,(2778.3056124897107+916.7499118824422j),(1334.0405668061026+439.2327921735163j),(1650.0106116329046+541.5489501348561j)
200,(2778.2120229758048+917.153023630896j),(1244.7084437013816+409.6976072064503j),(1838.9089865802741+603.3670899854269j)
201,(2844.4171587778633+939.0788357159017j),(1353.9482150502326+445.505528451059j),(2029.8721811974333+666.0536989284693j)
202,(2844.525842008455+938.8967457283886j),(1354.0036317151491+445.6040690120664j),(1877.2125330026308+616.0074591562418j)
203,(3024.2364052433013+997.9927161647074j),(1353.9622549700398+445.6737756817126j),(1877.1555010773545+615.9068049384005j)
204,(2697.820104091363+890.7419801710392j),(1599.9642454635273+526.0848301666402j),(2065.069523028954+678.1776148503675j)
205,(2544.2099038242877+840.1037027448609j),(1600.0864843501881+526.0879520677772j),(1958.5656818557368+643.3438165084233j)
206,(2542.06754318176+843.6760915101422j),(1598.4372148205218+523.1725023752382j),(5059.470948949768+1657.6496077045003j)
207,(2541.9853105338984+843.8127266423323j),(1598.3823991215568+523.0757142468256j),(5227.06508422502+1712.5896601026766j)
208,(2541.902447919483+843.9502095461935j),(1598.3210949452528+522.9674117824148j),(5338.608708081929+1749.0658799022253j)
209,(2541.9763874074656+843.8275026490587j),(1598.3750635142005+523.0626057017809j),(5221.95061821405+1710.9225108832768j)
210,(2541.8343657210617+843.6711350541901j),(1779.820846177537+582.3849441048715j),(5256.468891897646+1722.7542697742751j)
211,(2423.3982391761024+804.8399586529566j),(1779.7482000602906+582.1333209475622j),(5440.06372209001+1782.787572977537j)
212,(2222.8698985448964+738.8006699838228j),(1779.7481839433988+581.9241454976659j),(5604.9706112386375+1837.1211706887304j)
213,(2160.8718546311584+718.5037601564422j),(1876.7892687196638+613.8346335263274j),(5645.630463573682+1850.3771359080597j)
214,(2160.9799301855564+718.3248377670482j),(1876.8877776685333+614.0083046438132j),(5481.420425786538+1796.819686573633j)
215,(2029.4138263771376+674.8028242075993j),(1868.7358661108833+611.0724291461397j),(5583.7901556513625+1830.6454290945821j)
216,(1969.3591634550771+655.0124222651525j),(1868.7434729501922+611.0594159486988j),(5583.812899133499+1830.6848516362188j)
217,(1766.81893932056+587.761266765939j),(2001.3471968549843+654.0230116464877j),(5583.955646608672+1831.9145486155758j)
218,(1766.703451254317+587.4736765925135j),(2346.5764187903505+766.8143886575331j),(5529.316645113633+1815.248244713309j)
219,(1766.7603974730036+587.577516467469j),(2249.0088427495757+735.050833495144j),(5529.543444262832+1814.8700685535548j)
220,(1766.668458191259+587.4105213805327j),(2448.9074704971326+800.2102591852247j),(5529.125253183092+1815.5677304906164j)
221,(1933.165529012183+642.4427873849068j),(2448.7607773573845+800.4144748708264j),(5535.886795861455+1817.395723498091j)
222,(2074.8706544617276+689.1652920697647j),(2344.217261845782+766.7158885810495j),(5378.843071044819+1765.1008159421594j)
223,(1944.1292997621945+645.7000334713482j),(2518.343030030742+823.378477229464j),(5325.089096671912+1748.499650243169j)
224,(1944.26867394002+645.7673396732808j),(2376.6403282225147+777.2090058208016j),(5219.783263662557+1713.52078385786j)
225,(1764.9948699371262+586.5898155515981j),(2530.99381441841+827.7514404954048j),(5219.856296477943+1713.9474716967516j)
226,(1865.9761886854128+616.4762017679627j),(2533.4361947057505+832.3313556551018j),(1948.183952334895+641.1887052055552j)
227,(1804.6419969402343+596.2422734213225j),(2652.3071603762173+871.2106871622815j),(1948.1553010305026+641.3935779532042j)
228,(1739.5794400999216+574.8413288873855j),(2652.319000639541+871.1907016446086j),(1948.1636959550808+641.4084658676986j)
229,(1739.6347054719581+574.7483331527721j),(2652.405983099113+871.3442149162225j),(1781.6730778226356+586.6364661823895j)
230,(1739.58528496855+574.6604160732767j),(2753.0490726533344+904.3599158628053j),(1781.6156573172261+586.7329722705156j)
231,(1739.6948481407485+574.5331133119366j),(2655.9633716419457+872.6454063844697j),(1600.8427756320891+527.2261783610297j)
232,(1739.8876953059478+574.5180208222748j),(2473.9927555041804+813.1537766896424j),(1384.228977943333+455.7812433651357j)
233,(1739.8070893614597+574.3747391153255j),(2726.111813679822+895.9856377177692j),(1384.1527671823435+455.9093327436082j)
234,(1739.6819183671448+574.4080485895535j),(2830.7218643943834+930.1247624210218j),(1585.581470143732+522.3121124226766j)
235,(2055.904315228027+678.4235330888399j),(2550.591329588573+838.6402788647279j),(1605.6737168780614+528.3978791057494j)
236,(2055.8213700137935+678.5631933256481j),(2550.48671160213+838.455318719762j),(1777.2246346754976+584.8057935353646j)
