time,phase1,phase2,phase3
0,1046.9006733820522,926.6102489308928,815.4441523541591
1,1046.8970366116982,956.6734686657605,792.4048402498943
2,1116.059109836762,956.6315475424053,892.5368114247109
3,1326.3900511761583,956.5547923136,1065.834039217712
4,1386.4569730294295,1016.5989798944674,1348.5295456602125
5,1326.1962430174879,1134.9190902002597,1388.6421912776054
6,1438.377989122739,1134.8817117670142,1438.7741407378749
7,1538.678851500356,1134.8104017182468,1547.0853482914224
8,1538.6144864811783,1134.7620937621605,1699.67542737714
9,3973.961955805249,1133.8783302200632,1563.0044959239708
10,1767.7597166909343,1074.4971751093208,1732.8181079973372
11,1767.671364126384,1074.445872781081,1928.598087941547
12,1707.3984307459618,1074.4662635761642,1928.6358294852994
13,1707.3357566982475,1074.4264288086845,2054.3088364529335
14,1707.3658161277788,1074.4443533668991,1993.992346290882
15,1667.1508109544288,1074.4303869920213,2110.5036569473273
16,1666.431342088038,1174.1715663644381,4119.921195028538
17,1666.431342088038,1174.1715663644381,4119.921195028538
18,1666.4631538372998,1174.1930890286642,4054.3248561947
19,1707.3682384162228,1114.5360590911769,1984.780781349613
20,1707.3682384162228,1114.5360590911769,1984.780781349613
21,1707.3617300141075,1114.532014582348,1997.8454961120638
22,1929.9822948001492,1114.4764972885769,2014.8046600022983
23,2113.821166525426,996.0793080172168,2269.0068715793527
24,2113.6952744759556,1166.2833381317164,2393.428132008464
25,2077.417219573894,1166.253753418315,2514.267362079451
26,2077.441395392335,1166.2667534476927,2449.9851546826603
27,2077.441395392335,1166.2667534476927,2449.9851546826603
28,2196.9823950852847,1166.1698648415872,2650.87721238049
29,2196.888068625021,1226.248912205241,2781.4081060489666
30,2256.0555555243614,1166.3051007222448,2385.880104794067
31,2256.0894511021133,1126.240020267145,2365.8135150175835
32,2247.046617257115,1126.243119986443,2365.819423522417
33,2247.0303720654515,1126.2351583148106,2400.983432559214
34,2247.0503000201297,1126.245231590553,2360.792966139481
35,2246.9538793078686,1230.4287783685647,2421.009962786371
36,2367.5026481889513,1230.3766411198687,2461.128882978138
37,2367.54252875172,1230.3945246136313,2468.0985755486267
38,2367.54252875172,1230.3945246136313,2468.0985755486267
39,2356.066134162188,1230.3973086192505,2386.69652715129
40,2356.0345390355055,1230.3832699886134,2396.7282236684478
41,2355.9756682365937,1384.505087887489,2436.882421068277
42,2456.650050921731,1384.4761001370907,2389.608077266269
43,2600.5943024884773,1384.3956166480243,2396.642822489513
44,2295.342920944449,1384.4187931778856,2615.84815601227
45,2111.3525806598295,1384.4946284302382,2600.8921244431567
46,1975.591459592544,1303.4788412830817,2601.0279441786724
47,1975.591459592544,1303.4788412830817,2601.0279441786724
48,2047.2478378009725,1303.46226216905,2705.648083363496
49,2171.6709703833026,1467.7737665736722,2920.7405899031423
50,2171.6474301611893,1568.0614424589867,2836.1854695925767
51,2171.5519468324683,1700.50440809381,2836.075016780312
52,2171.577823209073,1700.5243636623459,2775.750643216126
53,2171.424121297615,1810.9612551404332,2934.501158942804
54,2085.9579681599903,1810.8620319725958,3171.176926878841
55,2458.950065192526,1964.9040502671114,3337.96935060528
56,2398.5449030804366,1964.9292168490683,3372.2502911494453
57,2398.5041569454343,2065.3350582082094,3321.810816886493
58,2649.828720819654,2324.6577664651004,3306.1403025092145
59,2649.775770923541,2324.6122887457923,3395.746421955144
60,2650.534793604588,2194.570029592888,2244.746082436589
61,2378.56603669167,2380.060740402031,2244.7674771338166
62,2260.3202369640635,2380.1879796898797,2129.2844487310135
63,2260.251969853598,2665.2764475581257,1914.1675250330195
64,2260.100254514639,2575.455936740402,2281.7241760502034
65,2260.2333227447484,2575.611367120185,2103.8773595436214
66,2376.531394832432,2575.7605062188786,1832.8823448200874
67,2191.41679865336,2694.7006471198724,1832.9241877074733
68,2119.958787710257,2594.201229591842,1833.0346755317341
69,1959.3266658867467,2461.387513085774,1833.2159382516168
70,1843.3917066546962,2461.462448341275,1669.73342196265
71,1843.489119191355,2296.265576074518,1669.8321893877903
72,1803.0943894215245,2478.122832157135,1988.765729803153
73,1893.5655062457429,2478.0861023086336,1920.4881668214502
74,1893.5655062457429,2478.0861023086336,1920.4881668214502
75,1893.5719608786749,2262.5576686747268,2111.634764412297
76,1893.626399282676,2157.887205152071,2144.6360291646242
77,2076.067059600994,2472.1235876743203,2110.0793992577846
78,2250.7157054712875,2316.9184278771195,2110.1146208034306
79,2388.3585644792765,2316.8305989953187,2110.037346190996
80,2543.746792522888,2316.7752555977086,2109.98778905217
81,2766.5227134766756,2067.464717127734,2109.994173024608
82,2729.289698127225,2067.4924541047026,2110.018457277711
83,2769.6985295206114,1867.5255871694962,2110.123948925995
84,2653.474951784232,2129.139149825127,2036.7979053099111
85,2859.9967681354387,2025.6814907413827,2036.704191174612
86,2753.343959701939,2258.2274969154737,1850.1502548789913
87,2910.41244032892,2258.103462344394,1850.0505126298838
88,3151.3158432907294,2458.3466720451115,1849.8745710918529
89,3151.3158432907294,2458.3466720451115,1849.8745710918529
90,3432.0495384533024,2458.1849509284375,1732.3611017239577
91,3616.9413455459962,2458.1032795480332,1642.0649998259817
92,3616.9413455459962,2458.1032795480332,1642.0649998259817
93,3556.308233337574,2458.1475016753084,1642.097662139719
94,3556.4226952714243,2276.4223665179834,1634.336231257596
95,3445.739902956008,2276.4705599927015,1634.3765723964298
96,3629.743898168457,2605.042863450053,1634.0875986004817
97,3589.9362048820376,2313.685475757542,1443.6462117840658
98,3634.1357872314184,2164.4728332879677,1222.1275960560345
99,3735.5410650183117,1987.7555579180125,1146.056420635599
100,3466.58349255191,1987.9118209985543,1146.1651050670928
101,3267.4683184539244,1987.8060062764407,1634.2863772797982
102,3288.7748500579664,1875.5961821995907,1526.9846302172496
103,3249.5939464360813,1875.6663998525446,1527.0500218601567
104,3261.709617663889,1875.6597041166235,1527.0442479412459
105,3273.677096365327,1972.749903150454,1697.4285678931324
106,3032.6075144730307,1972.882466471581,1697.5528328802907
107,2826.0075983728857,1783.2998633555248,1697.766135373427
108,2571.3807149150944,1551.2094304867242,1504.2904686460477
109,2207.134547964413,1551.3743375475467,1504.4554443016827
110,2368.8299104091684,1351.0904283458592,1504.432386245485
111,2344.6932039188,1351.1008273057605,1504.4433221703323
112,2463.1031838824783,1351.0743663117883,1504.4133072509246
113,2314.2708350399494,1351.1384560287138,1504.4746250662893
114,2314.204926942201,1455.434806019081,1504.426928701777
115,2314.189283324541,1455.4196398350932,1517.4703320286692
116,2307.663146108716,1313.9066087884498,1683.971599544457
117,2124.176210584711,1313.9910920558664,1577.6681634983772
118,2153.675617794769,1291.8369634057285,1577.657454692962
119,2153.565604602994,1424.229495430958,1559.5810494916673
120,1630.9972180037162,1424.4051056514804,1681.234741845669
121,1631.049308494639,1563.8022372977118,1405.4361469534185
122,1957.12229021826,1563.6823705466188,1405.324791540617
123,2129.02726479561,1466.476251681504,1405.2627841263825
124,2129.02726479561,1466.476251681504,1405.2627841263825
125,2128.896339961912,1466.3869961539995,1619.9652182394593
126,2128.896339961912,1466.3869961539995,1619.9652182394593
127,2128.896339961912,1466.3869961539995,1619.9652182394593
128,2128.759139107061,1466.286097345403,1808.7768665332205
129,2128.5303178794825,1794.636443488248,1808.5647960639271
130,1654.7763313582145,1794.7610265122944,1986.6377432665645
131,1796.2767871495544,1965.187219504597,2076.781684102933
132,1796.271295473595,1860.6749905907325,2240.4875209418087
133,1987.2144939988502,2015.0264307078291,2231.297297908021
134,2148.052809835363,2014.9051211119104,2231.172684547594
