hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0,60,252.034,89.999,0,0,0.233884,71.804,0.233884,-108.196
0,120,252.041,89.998,0,0,0.23388,71.8032,0.23388,-108.197
0,180,252.024,90.0004,0,0,0.233896,71.8053,0.233896,-108.195
0,240,251.987,90.0043,0,0,0.233929,71.8091,0.233929,-108.191
0,300,251.891,90.0057,0,0,0.234017,71.8107,0.234017,-108.189
0,360,251.867,90.0005,0,0,0.234041,71.8059,0.234041,-108.194
0,420,251.855,90.0022,0,0,0.234053,71.8072,0.234053,-108.193
0,480,251.831,90.0059,0,0,0.234075,71.8108,0.234075,-108.189
0,540,251.773,90.0072,0,0,0.234127,71.8122,0.234127,-108.188
0,600,252.157,90.0754,0,0,0.233774,71.8804,0.233774,-108.12
0,660,251.777,90.0185,0,0,0.234124,71.8237,0.234124,-108.176
0,720,251.714,90.0196,0,0,0.234182,71.8246,0.234182,-108.175
0,780,251.705,90.0178,0,0,0.234192,71.8231,0.234192,-108.177
0,840,251.652,90.019,0,0,0.23424,71.824,0.23424,-108.176
0,900,251.675,90.0185,0,0,0.234221,71.8237,0.234221,-108.176
0,960,251.638,90.0178,0,0,0.234254,71.8229,0.234254,-108.177
0,1020,251.162,90.019,0,0,0.234681,71.8233,0.234681,-108.177
0,1080,251.161,90.019,0,0,0.234699,71.8242,0.234699,-108.176
0,1140,251.186,90.0185,0,0,0.234677,71.8237,0.234677,-108.176
0,1200,251.696,90.0166,0,0,0.234218,71.8226,0.234218,-108.177
0,1260,251.697,90.0165,0,0,0.2342,71.8216,0.2342,-108.178
0,1320,251.692,90.0166,0,0,0.234204,71.8217,0.234204,-108.178
0,1380,251.705,90.0199,0,0,0.234194,71.8248,0.234194,-108.175
0,1440,251.64,90.0294,0,0,0.234252,71.8338,0.234252,-108.166
0,1500,251.622,90.0251,0,0,0.234269,71.8305,0.234269,-108.17
0,1560,251.562,90.0253,0,0,0.234323,71.8304,0.234323,-108.17
0,1620,251.571,90.0254,0,0,0.234318,71.8305,0.234318,-108.169
0,1680,251.571,90.0254,0,0,0.234317,71.8305,0.234317,-108.169
