0.00086585+0.0086545i,5.7358e-07+1.7205e-06i,5.7358e-07+1.7205e-06i,0.017469+0.0016398i,0.0077178+8.7453e-05i,0.0077178+8.7453e-05i,0.006889+0.00051963i,9.84E-05,9.84E-05,0.010085+0.00094668i,0.0044557+5.049e-05i,0.0044557+5.049e-05i,0.0062432+0.00047091i,8.92E-05,8.92E-05,0.0078717+0.00059375i,0.00011245,0.00011245,0.0066809+0.00050393i,9.54E-05,9.54E-05,0.016903+0.0015867i,0.0074678+8.4622e-05i,0.0074678+8.4622e-05i,0.007178+0.00054143i,0.00010254,0.00010254,0.0075181+0.00056708i,0.0001074,0.0001074,0.0096347+0.00072673i,0.00013764,0.00013764,0.010688+0.0010032i,0.0047218+5.3505e-05i,0.0047218+5.3505e-05i,0.0047094+0.00035522i,6.73E-05,6.73E-05,0.0047094+0.00035522i,6.73E-05,6.73E-05,0.0070295+0.00065984i,0.0031057+3.5192e-05i,0.0031057+3.5192e-05i,0.0024312+0.0010322i,0.0011251+4.158e-05i,0.0011251+4.158e-05i,0.00069128+0.00029348i,0.00031991+1.1823e-05i,0.00031991+1.1823e-05i,0.014159+0.002114i,0.006436+5.6374e-05i,0.006436+5.6374e-05i,0.0026663+0.001132i,0.0012339+4.5601e-05i,0.0012339+4.5601e-05i,0.016738+0.0012626i,0.00023912,0.00023912,0.013049+0.0009843i,0.00018642,0.00018642,0.014847+0.0020645i,0.0014256+4.6275e-05i,0.0014256+4.6275e-05i,0.0020377+0.0008651i,0.000943+3.485e-05i,0.000943+3.485e-05i,0.021627+0.0016313i,0.00030896,0.00030896,0.014523+0.0010954i,0.00020747,0.00020747,0.0023419+0.00099424i,0.0010838+4.0052e-05i,0.0010838+4.0052e-05i,0.0080659+0.0006084i,0.00011523,0.00011523,0.0096111+0.00072495i,0.0001373,0.0001373,0.021536+0.0016244i,0.00030765,0.00030765,0.017114+0.0017172i,0.00079218+2.0886e-05i,0.00079218+2.0886e-05i,0.0061859+0.00046659i,8.84E-05,8.84E-05,0.0061859+0.00046659i,8.84E-05,8.84E-05,0.0020443+0.00030522i,0.00092922+8.1392e-06i,0.00092922+8.1392e-06i,0.016944+0.0012781i,0.00024206,0.00024206,0.008032+0.00060584i,0.00011474,0.00011474,0.0056025+0.00042259i,8.00E-05,8.00E-05,0.0025073+0.00037435i,0.0011397+9.9826e-06i,0.0011397+9.9826e-06i,0.017462+0.0013172i,0.00024946,0.00024946,0.0069106+0.00066116i,0.0030507+4.3894e-05i,0.0030507+4.3894e-05i,0.0036679+0.00054763i,0.0016672+1.4603e-05i,0.0016672+1.4603e-05i,0.008303+0.00062628i,0.00011861,0.00011861,0.0038789+0.00029258i,5.54E-05,5.54E-05,0.0089671+0.00085791i,0.0039585+5.6957e-05i,0.0039585+5.6957e-05i,0.0089817+0.00067748i,0.00012831,0.00012831,0.005603+0.00053606i,0.0024734+3.5589e-05i,0.0024734+3.5589e-05i,0.014875+0.001122i,0.00021251,0.00021251,0.018416+0.0013891i,0.00026309,0.00026309,0.031625+0.0030256i,0.013961+0.00020087i,0.013961+0.00020087i,0.0060635+0.00045736i,8.66E-05,8.66E-05,0.0099445+0.0007501i,0.00014206,0.00014206,0.0037028+0.00055283i,0.0016831+1.4742e-05i,0.0016831+1.4742e-05i,0.024774+0.0018686i,0.00035391,0.00035391,0.013216+0.0019732i,0.0060072+5.2618e-05i,0.0060072+5.2618e-05i,0.012461+0.00093989i,0.00017801,0.00017801,0.011398+0.0010905i,0.0050315+7.2396e-05i,0.0050315+7.2396e-05i,0.019281+0.0014543i,0.00027544,0.00027544,0.01199+0.00090437i,0.00017128,0.00017128,0.013484+0.00129i,0.0059524+8.5646e-05i,0.0059524+8.5646e-05i,0.0077917+0.00058772i,0.00011131,0.00011131,0.0064729+0.00048824i,9.25E-05,9.25E-05,0.012218+0.00092155i,0.00017454,0.00017454,0.0014752+0.00022026i,0.00067056+5.8735e-06i,0.00067056+5.8735e-06i,0.012435+0.00093794i,0.00017764,0.00017764,0.010873+0.0010403i,0.0047999+6.9063e-05i,0.0047999+6.9063e-05i,0.0065143+0.00049137i,9.31E-05,9.31E-05,0.011434+0.00086245i,0.00016334,0.00016334,0.0077646+0.00058568i,0.00011092,0.00011092,0.0074398+0.00056118i,0.00010628,0.00010628,0.0061303+0.00058651i,0.0027062+3.8938e-05i,0.0027062+3.8938e-05i,0.015999+0.0012068i,0.00022856,0.00022856,0.0023984+0.00035809i,0.0010902+9.5491e-06i,0.0010902+9.5491e-06i,0.018335+0.001383i,0.00026192,0.00026192,0.017351+0.0013196i,0.00047827+3.426e-06i,0.00047827+3.426e-06i,0.028777+0.0021872i,0.0037966+5.4627e-05i,0.0037966+5.4627e-05i,0.016338+0.0012324i,0.00023341,0.00023341,0.0045657+0.00068167i,0.0020753+1.8178e-05i,0.0020753+1.8178e-05i,0.0013569+0.00020259i,0.00061676+5.4023e-06i,0.00061676+5.4023e-06i,0.016064+0.0012116i,0.00022948,0.00022948,0.0062377+0.0004705i,8.91E-05,8.91E-05,0.0070291+0.00053019i,0.00010042,0.00010042,0.0048373+0.00072222i,0.0021988+1.9259e-05i,0.0021988+1.9259e-05i,0.017721+0.0013367i,0.00025316,0.00025316,0.0095019+0.00071672i,0.00013574,0.00013574,0.0052873+0.0007894i,0.0024033+2.1051e-05i,0.0024033+2.1051e-05i,0.0075335+0.00056824i,0.00010762,0.00010762,0.0085842+0.00064749i,0.00012263,0.00012263,0.01747+0.0013178i,0.00024958,0.00024958,0.0084314+0.00086568i,0.0037364+5.0946e-05i,0.0037364+5.0946e-05i,0.012801+0.0012248i,0.0056511+8.1311e-05i,0.0056511+8.1311e-05i,0.014873+0.0011218i,0.00021247,0.00021247,0.013137+0.00099089i,0.00018767,0.00018767,0.01428+0.0013662i,0.0063039+9.0703e-05i,0.0063039+9.0703e-05i,0.0079074+0.00059645i,0.00011296,0.00011296,0.0067155+0.00050654i,9.59E-05,9.59E-05,0.012686+0.00095685i,0.00018122,0.00018122,0.01634+0.0015633i,0.0072133+0.00010379i,0.0072133+0.00010379i,0.0083172+0.00062735i,0.00011882,0.00011882,0.0066011+0.00049791i,9.43E-05,9.43E-05,0.011405+0.0008603i,0.00016294,0.00016294,0.0026738+0.00020168i,3.82E-05,3.82E-05,0.025115+0.0021416i,0.0053221+8.7849e-05i,0.0053221+8.7849e-05i,0.012568+0.00094796i,0.00017954,0.00017954,0.00329+0.00024816i,4.70E-05,4.70E-05,0.0087606+0.0006608i,0.00012515,0.00012515,0.009438+0.00063821i,0,0,0.011739+0.00079381i,0,0,0.0085998+0.00095094i,-0.00037211,-0.00037211,0.0094403+0.00071207i,0.00013486,0.00013486,0.0038018+0.00028677i,5.43E-05,5.43E-05,0.011309+0.00085301i,0.00016156,0.00016156
5.7358e-07+1.7205e-06i,0.00086585+0.0086545i,5.7358e-07+1.7205e-06i,0.0077178+8.7453e-05i,0.017469+0.0016398i,0.0077178+8.7453e-05i,9.84E-05,0.006889+0.00051963i,9.84E-05,0.0044557+5.049e-05i,0.010085+0.00094668i,0.0044557+5.049e-05i,8.92E-05,0.0062432+0.00047091i,8.92E-05,0.00011245,0.0078717+0.00059375i,0.00011245,9.54E-05,0.0066809+0.00050393i,9.54E-05,0.0074678+8.4622e-05i,0.016903+0.0015867i,0.0074678+8.4622e-05i,0.00010254,0.007178+0.00054143i,0.00010254,0.0001074,0.0075181+0.00056708i,0.0001074,0.00013764,0.0096347+0.00072673i,0.00013764,0.0047218+5.3505e-05i,0.010688+0.0010032i,0.0047218+5.3505e-05i,6.73E-05,0.0047094+0.00035522i,6.73E-05,6.73E-05,0.0047094+0.00035522i,6.73E-05,0.0031057+3.5192e-05i,0.0070295+0.00065984i,0.0031057+3.5192e-05i,0.0011251+4.158e-05i,0.0024312+0.0010322i,0.0011251+4.158e-05i,0.00031991+1.1823e-05i,0.00069128+0.00029348i,0.00031991+1.1823e-05i,0.006436+5.6374e-05i,0.014159+0.002114i,0.006436+5.6374e-05i,0.0012339+4.5601e-05i,0.0026663+0.001132i,0.0012339+4.5601e-05i,0.00023912,0.016738+0.0012626i,0.00023912,0.00018642,0.013049+0.0009843i,0.00018642,0.0014256+4.6275e-05i,0.014847+0.0020645i,0.0014256+4.6275e-05i,0.000943+3.485e-05i,0.0020377+0.0008651i,0.000943+3.485e-05i,0.00030896,0.021627+0.0016313i,0.00030896,0.00020747,0.014523+0.0010954i,0.00020747,0.0010838+4.0052e-05i,0.0023419+0.00099424i,0.0010838+4.0052e-05i,0.00011523,0.0080659+0.0006084i,0.00011523,0.0001373,0.0096111+0.00072495i,0.0001373,0.00030765,0.021536+0.0016244i,0.00030765,0.00079218+2.0886e-05i,0.017114+0.0017172i,0.00079218+2.0886e-05i,8.84E-05,0.0061859+0.00046659i,8.84E-05,8.84E-05,0.0061859+0.00046659i,8.84E-05,0.00092922+8.1392e-06i,0.0020443+0.00030522i,0.00092922+8.1392e-06i,0.00024206,0.016944+0.0012781i,0.00024206,0.00011474,0.008032+0.00060584i,0.00011474,8.00E-05,0.0056025+0.00042259i,8.00E-05,0.0011397+9.9826e-06i,0.0025073+0.00037435i,0.0011397+9.9826e-06i,0.00024946,0.017462+0.0013172i,0.00024946,0.0030507+4.3894e-05i,0.0069106+0.00066116i,0.0030507+4.3894e-05i,0.0016672+1.4603e-05i,0.0036679+0.00054763i,0.0016672+1.4603e-05i,0.00011861,0.008303+0.00062628i,0.00011861,5.54E-05,0.0038789+0.00029258i,5.54E-05,0.0039585+5.6957e-05i,0.0089671+0.00085791i,0.0039585+5.6957e-05i,0.00012831,0.0089817+0.00067748i,0.00012831,0.0024734+3.5589e-05i,0.005603+0.00053606i,0.0024734+3.5589e-05i,0.00021251,0.014875+0.001122i,0.00021251,0.00026309,0.018416+0.0013891i,0.00026309,0.013961+0.00020087i,0.031625+0.0030256i,0.013961+0.00020087i,8.66E-05,0.0060635+0.00045736i,8.66E-05,0.00014206,0.0099445+0.0007501i,0.00014206,0.0016831+1.4742e-05i,0.0037028+0.00055283i,0.0016831+1.4742e-05i,0.00035391,0.024774+0.0018686i,0.00035391,0.0060072+5.2618e-05i,0.013216+0.0019732i,0.0060072+5.2618e-05i,0.00017801,0.012461+0.00093989i,0.00017801,0.0050315+7.2396e-05i,0.011398+0.0010905i,0.0050315+7.2396e-05i,0.00027544,0.019281+0.0014543i,0.00027544,0.00017128,0.01199+0.00090437i,0.00017128,0.0059524+8.5646e-05i,0.013484+0.00129i,0.0059524+8.5646e-05i,0.00011131,0.0077917+0.00058772i,0.00011131,9.25E-05,0.0064729+0.00048824i,9.25E-05,0.00017454,0.012218+0.00092155i,0.00017454,0.00067056+5.8735e-06i,0.0014752+0.00022026i,0.00067056+5.8735e-06i,0.00017764,0.012435+0.00093794i,0.00017764,0.0047999+6.9063e-05i,0.010873+0.0010403i,0.0047999+6.9063e-05i,9.31E-05,0.0065143+0.00049137i,9.31E-05,0.00016334,0.011434+0.00086245i,0.00016334,0.00011092,0.0077646+0.00058568i,0.00011092,0.00010628,0.0074398+0.00056118i,0.00010628,0.0027062+3.8938e-05i,0.0061303+0.00058651i,0.0027062+3.8938e-05i,0.00022856,0.015999+0.0012068i,0.00022856,0.0010902+9.5491e-06i,0.0023984+0.00035809i,0.0010902+9.5491e-06i,0.00026192,0.018335+0.001383i,0.00026192,0.00047827+3.426e-06i,0.017351+0.0013196i,0.00047827+3.426e-06i,0.0037966+5.4627e-05i,0.028777+0.0021872i,0.0037966+5.4627e-05i,0.00023341,0.016338+0.0012324i,0.00023341,0.0020753+1.8178e-05i,0.0045657+0.00068167i,0.0020753+1.8178e-05i,0.00061676+5.4023e-06i,0.0013569+0.00020259i,0.00061676+5.4023e-06i,0.00022948,0.016064+0.0012116i,0.00022948,8.91E-05,0.0062377+0.0004705i,8.91E-05,0.00010042,0.0070291+0.00053019i,0.00010042,0.0021988+1.9259e-05i,0.0048373+0.00072222i,0.0021988+1.9259e-05i,0.00025316,0.017721+0.0013367i,0.00025316,0.00013574,0.0095019+0.00071672i,0.00013574,0.0024033+2.1051e-05i,0.0052873+0.0007894i,0.0024033+2.1051e-05i,0.00010762,0.0075335+0.00056824i,0.00010762,0.00012263,0.0085842+0.00064749i,0.00012263,0.00024958,0.01747+0.0013178i,0.00024958,0.0037364+5.0946e-05i,0.0084314+0.00086568i,0.0037364+5.0946e-05i,0.0056511+8.1311e-05i,0.012801+0.0012248i,0.0056511+8.1311e-05i,0.00021247,0.014873+0.0011218i,0.00021247,0.00018767,0.013137+0.00099089i,0.00018767,0.0063039+9.0703e-05i,0.01428+0.0013662i,0.0063039+9.0703e-05i,0.00011296,0.0079074+0.00059645i,0.00011296,9.59E-05,0.0067155+0.00050654i,9.59E-05,0.00018122,0.012686+0.00095685i,0.00018122,0.0072133+0.00010379i,0.01634+0.0015633i,0.0072133+0.00010379i,0.00011882,0.0083172+0.00062735i,0.00011882,9.43E-05,0.0066011+0.00049791i,9.43E-05,0.00016294,0.011405+0.0008603i,0.00016294,3.82E-05,0.0026738+0.00020168i,3.82E-05,0.0053221+8.7849e-05i,0.025115+0.0021416i,0.0053221+8.7849e-05i,0.00017954,0.012568+0.00094796i,0.00017954,4.70E-05,0.00329+0.00024816i,4.70E-05,0.00012515,0.0087606+0.0006608i,0.00012515,0,0.009438+0.00063821i,0,0,0.011739+0.00079381i,0,-0.00037211,0.0085998+0.00095094i,-0.00037211,0.00013486,0.0094403+0.00071207i,0.00013486,5.43E-05,0.0038018+0.00028677i,5.43E-05,0.00016156,0.011309+0.00085301i,0.00016156
5.7358e-07+1.7205e-06i,5.7358e-07+1.7205e-06i,0.00086585+0.0086545i,0.0077178+8.7453e-05i,0.0077178+8.7453e-05i,0.017469+0.0016398i,9.84E-05,9.84E-05,0.006889+0.00051963i,0.0044557+5.049e-05i,0.0044557+5.049e-05i,0.010085+0.00094668i,8.92E-05,8.92E-05,0.0062432+0.00047091i,0.00011245,0.00011245,0.0078717+0.00059375i,9.54E-05,9.54E-05,0.0066809+0.00050393i,0.0074678+8.4622e-05i,0.0074678+8.4622e-05i,0.016903+0.0015867i,0.00010254,0.00010254,0.007178+0.00054143i,0.0001074,0.0001074,0.0075181+0.00056708i,0.00013764,0.00013764,0.0096347+0.00072673i,0.0047218+5.3505e-05i,0.0047218+5.3505e-05i,0.010688+0.0010032i,6.73E-05,6.73E-05,0.0047094+0.00035522i,6.73E-05,6.73E-05,0.0047094+0.00035522i,0.0031057+3.5192e-05i,0.0031057+3.5192e-05i,0.0070295+0.00065984i,0.0011251+4.158e-05i,0.0011251+4.158e-05i,0.0024312+0.0010322i,0.00031991+1.1823e-05i,0.00031991+1.1823e-05i,0.00069128+0.00029348i,0.006436+5.6374e-05i,0.006436+5.6374e-05i,0.014159+0.002114i,0.0012339+4.5601e-05i,0.0012339+4.5601e-05i,0.0026663+0.001132i,0.00023912,0.00023912,0.016738+0.0012626i,0.00018642,0.00018642,0.013049+0.0009843i,0.0014256+4.6275e-05i,0.0014256+4.6275e-05i,0.014847+0.0020645i,0.000943+3.485e-05i,0.000943+3.485e-05i,0.0020377+0.0008651i,0.00030896,0.00030896,0.021627+0.0016313i,0.00020747,0.00020747,0.014523+0.0010954i,0.0010838+4.0052e-05i,0.0010838+4.0052e-05i,0.0023419+0.00099424i,0.00011523,0.00011523,0.0080659+0.0006084i,0.0001373,0.0001373,0.0096111+0.00072495i,0.00030765,0.00030765,0.021536+0.0016244i,0.00079218+2.0886e-05i,0.00079218+2.0886e-05i,0.017114+0.0017172i,8.84E-05,8.84E-05,0.0061859+0.00046659i,8.84E-05,8.84E-05,0.0061859+0.00046659i,0.00092922+8.1392e-06i,0.00092922+8.1392e-06i,0.0020443+0.00030522i,0.00024206,0.00024206,0.016944+0.0012781i,0.00011474,0.00011474,0.008032+0.00060584i,8.00E-05,8.00E-05,0.0056025+0.00042259i,0.0011397+9.9826e-06i,0.0011397+9.9826e-06i,0.0025073+0.00037435i,0.00024946,0.00024946,0.017462+0.0013172i,0.0030507+4.3894e-05i,0.0030507+4.3894e-05i,0.0069106+0.00066116i,0.0016672+1.4603e-05i,0.0016672+1.4603e-05i,0.0036679+0.00054763i,0.00011861,0.00011861,0.008303+0.00062628i,5.54E-05,5.54E-05,0.0038789+0.00029258i,0.0039585+5.6957e-05i,0.0039585+5.6957e-05i,0.0089671+0.00085791i,0.00012831,0.00012831,0.0089817+0.00067748i,0.0024734+3.5589e-05i,0.0024734+3.5589e-05i,0.005603+0.00053606i,0.00021251,0.00021251,0.014875+0.001122i,0.00026309,0.00026309,0.018416+0.0013891i,0.013961+0.00020087i,0.013961+0.00020087i,0.031625+0.0030256i,8.66E-05,8.66E-05,0.0060635+0.00045736i,0.00014206,0.00014206,0.0099445+0.0007501i,0.0016831+1.4742e-05i,0.0016831+1.4742e-05i,0.0037028+0.00055283i,0.00035391,0.00035391,0.024774+0.0018686i,0.0060072+5.2618e-05i,0.0060072+5.2618e-05i,0.013216+0.0019732i,0.00017801,0.00017801,0.012461+0.00093989i,0.0050315+7.2396e-05i,0.0050315+7.2396e-05i,0.011398+0.0010905i,0.00027544,0.00027544,0.019281+0.0014543i,0.00017128,0.00017128,0.01199+0.00090437i,0.0059524+8.5646e-05i,0.0059524+8.5646e-05i,0.013484+0.00129i,0.00011131,0.00011131,0.0077917+0.00058772i,9.25E-05,9.25E-05,0.0064729+0.00048824i,0.00017454,0.00017454,0.012218+0.00092155i,0.00067056+5.8735e-06i,0.00067056+5.8735e-06i,0.0014752+0.00022026i,0.00017764,0.00017764,0.012435+0.00093794i,0.0047999+6.9063e-05i,0.0047999+6.9063e-05i,0.010873+0.0010403i,9.31E-05,9.31E-05,0.0065143+0.00049137i,0.00016334,0.00016334,0.011434+0.00086245i,0.00011092,0.00011092,0.0077646+0.00058568i,0.00010628,0.00010628,0.0074398+0.00056118i,0.0027062+3.8938e-05i,0.0027062+3.8938e-05i,0.0061303+0.00058651i,0.00022856,0.00022856,0.015999+0.0012068i,0.0010902+9.5491e-06i,0.0010902+9.5491e-06i,0.0023984+0.00035809i,0.00026192,0.00026192,0.018335+0.001383i,0.00047827+3.426e-06i,0.00047827+3.426e-06i,0.017351+0.0013196i,0.0037966+5.4627e-05i,0.0037966+5.4627e-05i,0.028777+0.0021872i,0.00023341,0.00023341,0.016338+0.0012324i,0.0020753+1.8178e-05i,0.0020753+1.8178e-05i,0.0045657+0.00068167i,0.00061676+5.4023e-06i,0.00061676+5.4023e-06i,0.0013569+0.00020259i,0.00022948,0.00022948,0.016064+0.0012116i,8.91E-05,8.91E-05,0.0062377+0.0004705i,0.00010042,0.00010042,0.0070291+0.00053019i,0.0021988+1.9259e-05i,0.0021988+1.9259e-05i,0.0048373+0.00072222i,0.00025316,0.00025316,0.017721+0.0013367i,0.00013574,0.00013574,0.0095019+0.00071672i,0.0024033+2.1051e-05i,0.0024033+2.1051e-05i,0.0052873+0.0007894i,0.00010762,0.00010762,0.0075335+0.00056824i,0.00012263,0.00012263,0.0085842+0.00064749i,0.00024958,0.00024958,0.01747+0.0013178i,0.0037364+5.0946e-05i,0.0037364+5.0946e-05i,0.0084314+0.00086568i,0.0056511+8.1311e-05i,0.0056511+8.1311e-05i,0.012801+0.0012248i,0.00021247,0.00021247,0.014873+0.0011218i,0.00018767,0.00018767,0.013137+0.00099089i,0.0063039+9.0703e-05i,0.0063039+9.0703e-05i,0.01428+0.0013662i,0.00011296,0.00011296,0.0079074+0.00059645i,9.59E-05,9.59E-05,0.0067155+0.00050654i,0.00018122,0.00018122,0.012686+0.00095685i,0.0072133+0.00010379i,0.0072133+0.00010379i,0.01634+0.0015633i,0.00011882,0.00011882,0.0083172+0.00062735i,9.43E-05,9.43E-05,0.0066011+0.00049791i,0.00016294,0.00016294,0.011405+0.0008603i,3.82E-05,3.82E-05,0.0026738+0.00020168i,0.0053221+8.7849e-05i,0.0053221+8.7849e-05i,0.025115+0.0021416i,0.00017954,0.00017954,0.012568+0.00094796i,4.70E-05,4.70E-05,0.00329+0.00024816i,0.00012515,0.00012515,0.0087606+0.0006608i,0,0,0.009438+0.00063821i,0,0,0.011739+0.00079381i,-0.00037211,-0.00037211,0.0085998+0.00095094i,0.00013486,0.00013486,0.0094403+0.00071207i,5.43E-05,5.43E-05,0.0038018+0.00028677i,0.00016156,0.00016156,0.011309+0.00085301i
